source,table,label,priority_channel,duration,snd_nbr,comment
speech,,ever_miss_sp,0100DH,77,0a95H,
speech,,hot_hand_sp,0100DH,70,093dH,
speech,,on_fire_sp,0150DH,83,0972H,
speech,,heatup_sp,0130DH,54,0b1eH,
speech,,lightn_up_sp,0120DH,68,0aa4H,
speech,2tab|3ptab|med_tab,smokin_sp,0100DH,40,0af6H,
speech,,swish_sp,0100DH,37,0917H,
speech,,swish2_sp,0100DH,43,0b29H,
speech,,rgt_thrgh_sp,0100DH,53,0b4aH,
speech,,botm_net_sp,0100DH,67,0b4cH,
speech,,ngbut_net_sp,0100DH,85,0b4bH,
speech,longtab|3ptab,whata_sht_sp,0100DH,47,0937H,
speech,longtab|2tab,great_sht_sp,0100DH,54,0935H,
speech,longtab|2tab,greatshot_sp,0100DH,47,090fH,
speech,2tab,good_sht_sp,0100DH,36,0938H,
speech,,he_uncon_sp,0100DH,61,0914H,
speech,2bkbdhit_tab,banked_it_sp,0100DH,27,0829H,
speech,2bkbdhit_tab,a_banker_sp,0100DH,33,0811H,
speech,,soft_glas_sp,0100DH,95,0810H,
speech,bckbd_hit_sp_tbl|2bkbdhit_tab,off_bkbrd_sp,0100DH,80,0827H,
speech,bckbd_hit_sp_tbl|2bkbdhit_tab,off_glass_sp,0100DH,80,083aH,
speech,bckbd_hit_sp_tbl,kild_smne_sp,0100DH,110,09eeH,
speech,bckbd_hit_sp_tbl|nogood_sp_tbl,off_trgt_sp,0100DH,80,09e1H,
speech,bckbd_hit_sp_tbl,sht_stunk_sp,0100DH,97,09e8H,
speech,bckbd_hit_sp_tbl,wht_thnkg_sp,0100DH,88,09edH,
speech,2ptab_far,fr_thw_ln_sp,0100DH,65,0837H,
speech,2ptab_far,top_key_sp,0100DH,70,0807H,
speech,2ptab_near,frm_paint_sp,0100DH,40,07edH,
speech,2ptab_med,frm_wing_sp,0100DH,38,07e7H,
speech,2ptab_far,lnch_jmpr_sp,0100DH,59,083eH,
speech,2ptab_med|2ptab_far,stp_n_pop_sp,0100DH,75,0832H,
speech,2ptab_near|2ptab_med|2ptab_far|fngr_roll_sp_tbl,fires_jumpr,0100DH,55,082eH,
speech,2ptab_near,ltle_jmpr_sp,0100DH,48,07f2H,
speech,fngr_roll_sp_tbl,fingr_rol_sp,0100DH,46,080eH,
speech,fngr_roll_sp_tbl|fingtab,figr_itin_sp,0100DH,90,0901H,
speech,layup_sp_tbl|fngr_roll_sp_tbl,fingr_rl2_sp,0100DH,46,080eH,
speech,layup_sp_tbl|fngr_roll_sp_tbl,lay_it_up_sp,0100DH,45,081bH,
speech,layup_sp_tbl|fngr_roll_sp_tbl,layup_sp,0100DH,41,081cH,
speech,layup_sp_tbl,he_layup_sp,0100DH,58,081eH,
speech,,drv_layup_sp,0100DH,61,0b19H,
speech,desptab,whyyyy_sp,0100DH,41,0ae3H,
speech,,blowout_sp,0100DH,85,0859H,it's a blowout
speech,no_chnce_win_sp_tbl,whoomp_sp,0100DH,72,085aH,"Whoomp, there it is"
speech,,debacle_sp,0100DH,66,0a92H,
speech,no_chnce_win_sp_tbl,its_hstry_sp,0100DH,47,085fH,
speech,no_chnce_win_sp_tbl,strike_up_sp,0100DH,122,0b4dH,
speech,no_chnce_win_sp_tbl,fnl_strw_sp,0100DH,90,0b4eH,
speech,no_chnce_win_sp_tbl,fat_sing_sp,0100DH,115,0858H,
speech,,needshot_sp,0100DH,72,0ab2H,
speech,,run_out_sp,0100DH,55,0876H,
speech,,just_secs_sp,0100DH,84,0ab3H,AMM
speech,lob_spch_tbl|pass_spch_near_tbl,passes_sp,0070DH,33,09f4H,
speech,pass_spch_near_tbl|pass_spch_far_tbl,he_passes_sp,0070DH,43,09f6H,
speech,pass_spch_near_tbl,a_pass_sp,0070DH,33,09fbH,
speech,lob_spch_tbl|pass_spch_near_tbl,tosses_it_sp,0070DH,39,09fcH,
speech,pass_spch_near_tbl,guns_it_sp,0070DH,43,0a13H,
speech,pass_spch_far_tbl,cros_crt_sp,0070DH,37,0a16H,
speech,pass_spch_far_tbl,downcourt_sp,0070DH,37,0a0aH,down court
speech,pass_spch_far_tbl,downcrt2_sp,0070DH,39,0a1eH,
speech,pass_spch_far_tbl,lngpss_dc_sp,0070DH,84,0a0bH,
speech,pass_spch_far_tbl,hev_dncrt_sp,0070DH,69,0a1dH,
speech,,bnce_pass_sp,0070DH,41,0a20H,
speech,,dumps_it_sp,0070DH,27,09feH,
speech,,long_pass_sp,0070DH,85,0a0bH,long pass down court
speech,pass_spch_far_tbl,pas_outsd_sp,0070DH,58,09f8H,
speech,,goal_tend_sp,0120DH,47,0a4bH,SUX
speech,,rebounds_sp,0100DH,60,0af3H,
speech,rebnd_near_hoop_tbl|rebnd_nme_tbl,tks_rbnd2_sp,0100DH,73,0a4fH,
speech,rebnd_near_hoop_tbl,tks_rbnd3_sp,0100DH,96,0a5bH,
speech,rebnd_nme_tbl|rebnd_no_nme_tbl,grab_rock_sp,0100DH,61,0a52H,
speech,rebnd_nme_tbl,has_rebnd_sp,0100DH,64,0a55H,
speech,inair_spch_tbl|rebnd_nme_tbl,grab_ball_sp,0100DH,64,0a56H,
speech,rebnd_near_hoop_tbl|rebnd_no_nme_tbl,tks_rebnd_sp,0100DH,81,0a57H,
speech,,posession_sp,0100DH,57,0a58H,
speech,,off_rebnd_sp,0100DH,89,0a5aH,
speech,rebnd_near_hoop_tbl,pulls_off_sp,0100DH,87,0a5bH,
speech,rebnd_near_hoop_tbl|rebnd_no_nme_tbl,with_bord_sp,0100DH,77,0a5cH,
speech,rebnd_no_nme_tbl,grbs_rbnd_sp,0100DH,80,0a5dH,
speech,rebnd_near_hoop_tbl,ynk_rim_sp,0100DH,80,0a5fH,
speech,rebnd_no_nme_tbl,da_rebnd_sp,0100DH,45,0a60H,
speech,rebnd_no_nme_tbl,rip_rebnd_sp,0100DH,87,0a50H,
speech,,rbnd_miss_sp,0100DH,97,0a64H,
speech,deflt_spch_tab,its_blckd_sp,0130DH,47,0a66H,
speech,inair_spch_tbl|deflt_spch_tab,outa_here_sp,0130DH,63,0a67H,
speech,,blckd_it_sp,0130DH,29,0a68H,
speech,,no_way_sp,0130DH,47,0a69H,
speech,deflt_spch_tab,rejected_sp,0130DH,46,0a6aH,
speech,deflt_spch_tab,deflected_sp,0130DH,38,0a6cH,
speech,inair_spch_tbl,stolen_sp,0130DH,35,0a72H,
speech,,the_steal_sp,0130DH,39,0a73H,
speech,,turnover_sp,0130DH,48,0a75H,
speech,,trnd_over_sp,0130DH,61,0a76H,
speech,inair_spch_tbl|rebnd_no_nme_tbl,quck_hnds_sp,0130DH,46,0a79H,
speech,,intrceptd_sp,0130DH,48,0a7fH,
speech,,stripped_sp,0130DH,29,0a84H,
speech,,clean_pck_sp,0130DH,48,0a83H,
speech,,bad_pass_sp,0130DH,56,0a82H,
speech,,flagrant_sp,0090DH,37,0abbH,
speech,,to_floor_sp,0090DH,43,0ac6H,
speech,,to_deck_sp,0090DH,37,0ac7H,
speech,,tookm_out_sp,0090DH,48,0abeH,
speech,,hamerd_hm_sp,0090DH,35,0ad1H,
speech,,into_stnd_sp,0050DH,96,0ac4H,
speech,,fr_basel_sp,0100DH,41,0a29H,Unused - From the baseline
speech,,fr_base2_sp,0100DH,61,0a2aH,Unused - From the baseline - longer
speech,,grtmove_sp,0100DH,41,0a3aH,Unused - Great move!
speech,,tm_onfire_sp,0140DH,76,0b3eH,Unused - The Team is on fire!
speech,,zigzag_sp,0100DH,75,095ch,"AMM - unused ""zigzag!"""
speech,,jams_it2_sp,0100DH,65,0986H,"AMM Unused ""jams it with two hands"""
speech,,intzone_sp,0100DH,61,0915H,"AMM - ""In the zone!"""
speech,,wit_a_flr_sp,0100DH,60,099cH,"AMM Unused ""with a flourish"""
speech,,wit_a_fl2_sp,0100DH,65,099bH,"AMM Unused ""finishes with a flourish"""
speech,nickname_spch_tbl,nick_nme1,0100DH,23,0760H,
speech,nickname_spch_tbl,nick_nme2,0100DH,23,08c6H,
speech,nickname_spch_tbl,nick_nme3,0100DH,35,0758H,
speech,nickname_spch_tbl,nick_nme4,0100DH,25,0774H,
speech,nickname_spch_tbl,nick_nme5,0100DH,36,0784H,
speech,nickname_spch_tbl,nick_nme6,0100DH,20,075cH,
speech,nickname_spch_tbl,nick_nme7,0100DH,24,075eH,
speech,nickname_spch_tbl,nick_nme8,0100DH,37,08ccH,
speech,nickname_spch_tbl,nick_nme9,0100DH,25,08d8H,
speech,nickname_spch_tbl,nick_nme10,0100DH,24,078eH,
speech,nickname_spch_tbl,nick_nme11,0100DH,32,08b8H,
speech,nickname_spch_tbl,nick_nme12,0100DH,37,0766H,
speech,nickname_spch_tbl,nick_nme13,0100DH,25,08d4H,
speech,nickname_spch_tbl,nick_nme14,0100DH,46,08bcH,
speech,nickname_spch_tbl,nick_nme15,0100DH,20,0768H,
speech,nickname_spch_tbl,nick_nme16,0100DH,37,0796H,
speech,nickname_spch_tbl,nick_nme17,0100DH,25,076aH,
speech,nickname_spch_tbl,nick_nme18,0100DH,31,076cH,
speech,nickname_spch_tbl,nick_nme19,0100DH,27,076eH,
speech,nickname_spch_tbl,nick_nme20,0100DH,20,0798H,
speech,nickname_spch_tbl,nick_nme21,0100DH,36,079aH,
speech,nickname_spch_tbl,nick_nme22,0100DH,40,0776H,
speech,nickname_spch_tbl,nick_nme23,0100DH,46,08beH,
speech,nickname_spch_tbl,nick_nme24,0100DH,31,08caH,
speech,nickname_spch_tbl,nick_nme26,0100DH,28,08ceH,
speech,nickname_spch_tbl,nick_nme27,0100DH,32,077cH,
speech,nickname_spch_tbl,nick_nme28,0100DH,28,077eH,
speech,nickname_spch_tbl,nick_nme29,0100DH,21,0780H,
speech,nickname_spch_tbl,nick_nme30,0100DH,31,0782H,
speech,nickname_spch_tbl,nick_nme31,0100DH,27,0786H,
speech,nickname_spch_tbl,nick_nme32,0100DH,24,0788H,
speech,nickname_spch_tbl,nick_nme33,0100DH,29,078aH,
speech,nickname_spch_tbl,nick_nme34,0100DH,36,078cH,
speech,nickname_spch_tbl,nick_nme35,0100DH,21,0790H,
speech,nickname_spch_tbl,nick_nme36,0100DH,23,0792H,
speech,nickname_spch_tbl,to_nck_nme1,0100DH,60,0761H,
speech,nickname_spch_tbl,to_nck_nme2,0100DH,60,08c7H,
speech,nickname_spch_tbl,to_nck_nme3,0100DH,60,0759H,
speech,nickname_spch_tbl,to_nck_nme4,0100DH,60,0775H,
speech,nickname_spch_tbl,to_nck_nme5,0100DH,60,0785H,
speech,nickname_spch_tbl,to_nck_nme6,0100DH,60,075dH,
speech,nickname_spch_tbl,to_nck_nme7,0100DH,60,075fH,
speech,nickname_spch_tbl,to_nck_nme8,0100DH,60,08cdH,
speech,nickname_spch_tbl,to_nck_nme9,0100DH,60,08d9H,
speech,nickname_spch_tbl,to_nck_nme10,0100DH,60,078fH,
speech,nickname_spch_tbl,to_nck_nme11,0100DH,60,08b9H,
speech,nickname_spch_tbl,to_nck_nme12,0100DH,60,0767H,
speech,nickname_spch_tbl,to_nck_nme13,0100DH,60,08d5H,
speech,nickname_spch_tbl,to_nck_nme14,0100DH,60,08bdH,
speech,nickname_spch_tbl,to_nck_nme15,0100DH,60,0769H,
speech,nickname_spch_tbl,to_nck_nme16,0100DH,60,0797H,
speech,nickname_spch_tbl,to_nck_nme17,0100DH,60,076bH,
speech,nickname_spch_tbl,to_nck_nme18,0100DH,60,076dH,
speech,nickname_spch_tbl,to_nck_nme19,0100DH,60,076fH,
speech,nickname_spch_tbl,to_nck_nme20,0100DH,60,0799H,
speech,nickname_spch_tbl,to_nck_nme21,0100DH,60,079bH,
speech,nickname_spch_tbl,to_nck_nme22,0100DH,60,0777H,
speech,nickname_spch_tbl,to_nck_nme23,0100DH,60,08bfH,
speech,nickname_spch_tbl,to_nck_nme24,0100DH,60,08cbH,
speech,nickname_spch_tbl,to_nck_nme26,0100DH,60,08cfH,
speech,nickname_spch_tbl,to_nck_nme27,0100DH,60,077dH,
speech,nickname_spch_tbl,to_nck_nme28,0100DH,60,077fH,
speech,nickname_spch_tbl,to_nck_nme29,0100DH,60,0781H,
speech,nickname_spch_tbl,to_nck_nme30,0100DH,60,0783H,
speech,nickname_spch_tbl,to_nck_nme31,0100DH,60,0787H,
speech,nickname_spch_tbl,to_nck_nme32,0100DH,60,0789H,
speech,nickname_spch_tbl,to_nck_nme33,0100DH,60,078bH,
speech,nickname_spch_tbl,to_nck_nme34,0100DH,60,078dH,
speech,nickname_spch_tbl,to_nck_nme35,0100DH,60,0791H,
speech,nickname_spch_tbl,to_nck_nme36,0100DH,60,0793H,
SELECT2.axx,team_snds,,03505H,32,2290,0  JEFF JOHNSON
SELECT2.axx,team_snds,,03505H,31,2276,1  SAL DIVITA
SELECT2.axx,team_snds,,03505H,32,2272,2  TURMELL
SELECT2.axx,team_snds,,03505H,28,2286,3  THOMPSON
SELECT2.axx,team_snds,,03505H,22,2278,4  GEER
SELECT2.axx,team_snds,,03505H,33,2288,5  CARLTON
SELECT2.axx,team_snds,,03505H,28,2280,6  HEDRICK
SELECT2.axx,team_snds,,03505H,23,2274,7  JOHN HEY
SELECT2.axx,team_snds,,03505H,43,2266,8  AIR MORRIS
SELECT2.axx,team_snds,,03505H,30,2268,9  STEVE BARDO
SELECT2.axx,team_snds,,03505H,35,2270,10 MINIFEE
SELECT2.axx,team_snds,,03505H,41,2282,11 MARTINEZ
SELECT2.axx,team_snds,,03505H,36,2284,12 PESINA
SELECT2.axx,team_snds,,03505H,36,2250,13 LIPTAK
SELECT2.axx,team_snds,,03505H,46,1910,14 EDDIE
SELECT2.axx,team_snds,,03505H,26,1920,15 MIKE V
SELECT2.axx,team_snds,,03505H,37,2867,16 JAMIE R.
SELECT2.axx,team_snds,,03505H,37,2867,17 NICK E.
SELECT2.axx,team_snds,,03505H,37,2867,18 J. ROOT
SELECT2.axx,team_snds,,03505H,37,2867,19 MEDNICK
SELECT2.axx,team_snds,,03505H,37,2867,20 DAN R.
SELECT2.axx,team_snds,,03505H,37,2867,21 PAT F.
SELECT2.axx,team_snds,,03505H,37,2867,22 ED BOON
SELECT2.axx,team_snds,,03505H,37,2867,23 J. TOBIAS
SELECT2.axx,team_snds,,03505H,37,2867,24 OURSLER
SELECT2.axx,team_snds,,03505H,37,2867,25 JASON S.
SELECT2.axx,team_snds,,03505H,37,2867,26 QUINN
SELECT2.axx,team_snds,,03505H,37,2867,27 M. PERRY
SELECT2.axx,team_snds,,03505H,37,2867,28 N. FUNK
SELECT2.axx,team_snds,,03505H,37,2867,29 MDOC
SELECT2.axx,team_snds,,03505H,37,2867,30 BUD
SELECT2.axx,team_snds,,03505H,54,1877,31 MARIUS
SELECT2.axx,team_snds,,03505H,37,2867,32 MUNDAY
SELECT2.axx,team_snds,,03505H,37,2867,33 NORTH
SELECT2.axx,team_snds,,03505H,37,2867,34 AMRICH
SELECT2.axx,team_snds,,03505H,37,2867,35 JIGGETS
SELECT2.axx,team_snds,,03505H,37,2867,36 ZIRIN
SELECT2.axx,team_snds,,03505H,37,2867,37 HEITH BETTLEMAN
SELECT2.axx,team_snds,,03505H,37,2867,38 MATT BETTLEMAN
SELECT2.axx,team_snds,,03505H,43,2787,39 KEVIN DAY
SELECT2.axx,team_snds,,0100DH,72,1360,"PIPPEN,      scottie"
SELECT2.axx,team_snds,,0100DH,60,1364,"RODMAN,      dennis"
SELECT2.axx,team_snds,,0100DH,74,1344,"JOHNSON,     larry"
SELECT2.axx,team_snds,,0100DH,65,1348,"RICE,        glen"
SELECT2.axx,team_snds,,0100DH,68,1404,"KIDD,        jason"
SELECT2.axx,team_snds,,0100DH,103,1424,"MUTUMBO,     dekembe"
SELECT2.axx,team_snds,,0100DH,63,1444,"HILL,        grant"
SELECT2.axx,team_snds,,0100DH,118,1480,"OLAJUWAN,    hakeem"
SELECT2.axx,team_snds,,0100DH,85,1500,"MILLER,      reggie"
SELECT2.axx,team_snds,,0100DH,71,1508,"SMITS,       rik"
SELECT2.axx,team_snds,,0100DH,97,1560,"MOURNING,    alonzo"
SELECT2.axx,team_snds,,0100DH,93,1584,"ROBINSON,    glen"
SELECT2.axx,team_snds,,0100DH,82,1640,"EWING,       patrick"
SELECT2.axx,team_snds,,0100DH,70,1656,"STARKS,      john"
SELECT2.axx,team_snds,,0100DH,95,1660,"HARDAWAY,    anfernee"
SELECT2.axx,team_snds,,0100DH,76,1664,"GRANT,       horace"
SELECT2.axx,team_snds,,0100DH,96,1680,"STACKHOUSE,  jerry"
SELECT2.axx,team_snds,,0100DH,94,1724,"ROBINSON,    cliff"
SELECT2.axx,team_snds,,0100DH,92,1764,"ROBINSON,    david"
SELECT2.axx,team_snds,,0100DH,69,1760,"ELLIOTT,     sean"
SELECT2.axx,team_snds,,0100DH,64,1780,"KEMP,        shawn"
SELECT2.axx,team_snds,,0100DH,68,1824,"MALONE,      karl"
SELECT2.axx,team_snds,,0100DH,53,1864,"WEBBER,      chris"
SELECT2.axx,team_snds,,0100DH,92,1876,"MURESAN,     gheorge"
SELECT2.axx,team_snds,,0100DH,84,1416,"McCLOUD,     george"
SELECT2.axx,team_snds,,0100DH,76,1448,"MILLS,       terry"
SELECT2.axx,team_snds,,0100DH,64,1496,"SMITH,       kenny"
SELECT2.axx,team_snds,,0100DH,77,1512,"McKEE,       derek"
SELECT2.axx,team_snds,,0100DH,60,1961,"CHAPMAN,     rex"
SELECT2.axx,team_snds,,0100DH,69,1592,"BENJAMIN,    benoit"
SELECT2.axx,team_snds,,0100DH,69,1596,"DOUGLAS,     sherman"
SELECT2.axx,team_snds,,0100DH,61,1964,"WEBB,        spud"
SELECT2.axx,team_snds,,0100DH,54,1628,"GILLIAM,     armon"
SELECT2.axx,team_snds,,0100DH,60,1636,"EDWARDS,     kevin"
SELECT2.axx,team_snds,,0100DH,81,1652,"OAKLEY,      charles"
SELECT2.axx,team_snds,,0100DH,64,1967,"RUFFIN,      trevor"
SELECT2.axx,team_snds,,0100DH,77,1712,"PERSON,      wesley"
SELECT2.axx,team_snds,,0100DH,95,1716,"FINLEY,      michael"
SELECT2.axx,team_snds,,0100DH,73,1732,"WILLIAMS,    buck"
SELECT2.axx,team_snds,,0100DH,71,1772,"PERSON,      chuck"
SELECT2.axx,team_snds,,0100DH,61,1952,"ROBERTSON,   alvin"
SELECT2.axx,team_snds,,0100DH,67,1812,"MILLER,      oliver"
SELECT2.axx,team_snds,,0100DH,53,1816,"MURRAY,      tracy"
SELECT2.axx,team_snds,,0100DH,95,0b50h,Raiden
SELECT2.axx,team_snds,,0100DH,95,0b52h,Scorpion
SELECT2.axx,team_snds,,0100DH,95,0b53h,Subzero
SELECT2.axx,team_snds,,0100DH,95,0b51h,Reptile
SELECT2.axx,team_snds,,0100DH,95,0b54h,Smoke
SELECT2.axx,team_snds,,0100DH,95,0bb8h,Jordan
SELECT2.axx,team_snds,,0100DH,95,0403h,Magic
SELECT2.axx,team_snds,,0100DH,95,0406h,Bird
SELECT2.axx,team_snds,,0100DH,95,0409h,Arnold
SELECT2.axx,team_snds,,0100DH,95,040bh,Terminator
SPEECH.axx,full_name_speech,,0100DH,83,1304,"BLAYLOCK,    mookie		( ALTANTA HAWKS )"
SPEECH.axx,full_name_speech,,0100DH,103,1424,"MUTUMBO,     dekembe"
SPEECH.axx,full_name_speech,,0100DH,71,1604,"LAETNER,     christian"
SPEECH.axx,full_name_speech,,0100DH,64,1308,"SMITH,       steve"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,59,1336,"FOX,         rick			( BOSTON )"
SPEECH.axx,full_name_speech,,0100DH,57,0bbeh,"WALKER,      antoine"
SPEECH.axx,full_name_speech,,0100DH,66,1332,"RADJA,       dino"
SPEECH.axx,full_name_speech,,0100DH,66,1324,"BARROS,      dana"
SPEECH.axx,full_name_speech,,0100DH,61,1320,"BROWN,       dee"
SPEECH.axx,full_name_speech,,0100DH,65,1348,"RICE,        glen			( CHARLOTTE )"
SPEECH.axx,full_name_speech,,0100DH,80,1644,"MASON,       anthony"
SPEECH.axx,full_name_speech,,0100DH,78,1544,"DIVAC,       vlade"
SPEECH.axx,full_name_speech,,0100DH,58,1356,"CURRY,       del"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,68,0bb8h,"JORDAN,      michael		( CHICAGO )"
SPEECH.axx,full_name_speech,,0100DH,72,1360,"PIPPEN,      scottie"
SPEECH.axx,full_name_speech,,0100DH,60,1364,"RODMAN,      dennis"
SPEECH.axx,full_name_speech,,0100DH,70,1368,"KUKOC,       toni"
SPEECH.axx,full_name_speech,,0100DH,78,1372,"LONGLEY,     luke"
SPEECH.axx,full_name_speech,,0100DH,69,1392,"BRANDON,     terrell		( CLEVELAND )"
SPEECH.axx,full_name_speech,,0100DH,76,1384,"MILLS,       chris"
SPEECH.axx,full_name_speech,,0100DH,70,1388,"PHILLS,      bobby"
SPEECH.axx,full_name_speech,,0100DH,75,1380,"HILL,        tyrone"
SPEECH.axx,full_name_speech,,0100DH,65,1396,"FERRY,       danny"
SPEECH.axx,full_name_speech,,0100DH,95,1716,"FINLEY,      michael		( DALLAS )"
SPEECH.axx,full_name_speech,,0100DH,81,1624,"BRADLEY,     shawn"
SPEECH.axx,full_name_speech,,0100DH,84,1572,"DANILOVIC,   sasha"
SPEECH.axx,full_name_speech,,0100DH,70,1872,"PACK,        robert"
SPEECH.axx,full_name_speech,,0100DH,71,1648,"HARPER,      derek"
SPEECH.axx,full_name_speech,,0100DH,78,040Eh,"ELLIS,       alphonso		( DENVER )"
SPEECH.axx,full_name_speech,,0100DH,64,1436,"ELLIS,       dale"
SPEECH.axx,full_name_speech,,0100DH,96,1428,"McDYESS,     antonio"
SPEECH.axx,full_name_speech,,0100DH,100,1752,"MARCIULIONIS,sarunas"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,63,1444,"HILL,        grant			( DETROIT )"
SPEECH.axx,full_name_speech,,0100DH,74,1440,"DUMARS,      joe"
SPEECH.axx,full_name_speech,,0100DH,56,1452,"THORPE,      otis"
SPEECH.axx,full_name_speech,,0100DH,76,1448,"MILLS,       terry"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,76,1464,"SPREWELL,    latrell		( GOLDEN STATE )"
SPEECH.axx,full_name_speech,,0100DH,77,1476,"MULLIN,      chris"
SPEECH.axx,full_name_speech,,0100DH,65,1472,"SMITH,       joe"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,118,1480,"OLAJUWAN,    hakeem 		( HOUSTON )"
SPEECH.axx,full_name_speech,,0100DH,66,0bc0h,"BARKLEY,     charles"
SPEECH.axx,full_name_speech,,0100DH,80,1484,"DREXLER,     clyde"
SPEECH.axx,full_name_speech,,0100DH,61,1568,"WILLIS,      kevin"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,85,1500,"MILLER,      reggie		( INDIANA )"
SPEECH.axx,full_name_speech,,0100DH,78,1516,"JACKSON,     mark"
SPEECH.axx,full_name_speech,,0100DH,71,1508,"SMITS,       rik"
SPEECH.axx,full_name_speech,,0100DH,71,1504,"DAVIS,       dale"
SPEECH.axx,full_name_speech,,0100DH,70,1432,"ROSE,        jalen"
SPEECH.axx,full_name_speech,,0100DH,45,1520,"VAUGHT,      loy			( CLIPPERS )"
SPEECH.axx,full_name_speech,,0100DH,64,1524,"ROGERS,      rodney"
SPEECH.axx,full_name_speech,,0100DH,72,1536,"BARRY,       brent"
SPEECH.axx,full_name_speech,,0100DH,75,1532,"RICHARDSON,  pooh"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,68,0bbch,"ONEAL,       shaquille		( LAKERS )"
SPEECH.axx,full_name_speech,,0100DH,68,1556,"JONES,       eddie"
SPEECH.axx,full_name_speech,,0100DH,76,1540,"VAN EXEL,    nick"
SPEECH.axx,full_name_speech,,0100DH,56,0bbah,"BRYANT,      kobe"
SPEECH.axx,full_name_speech,,0100DH,80,1488,"HORRY,       robert"
SPEECH.axx,full_name_speech,,0100DH,80,1460,"HARDAWAY,    tim			( MIAMI )"
SPEECH.axx,full_name_speech,,0100DH,97,1560,"MOURNING,    alonzo"
SPEECH.axx,full_name_speech,,0100DH,88,1408,"MASHBURN,    jamal"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,70,1580,"BAKER,       vin			( MILWAUKEE )"
SPEECH.axx,full_name_speech,,0100DH,93,1584,"ROBINSON,    glen"
SPEECH.axx,full_name_speech,,0100DH,60,2930,"ALLEN,       ray"
SPEECH.axx,full_name_speech,,0100DH,71,1596,"DOUGLAS,     sherman"
SPEECH.axx,full_name_speech,,0100DH,54,1628,"GILLIAM,     armen"
SPEECH.axx,full_name_speech,,0100DH,72,1616,"GARNETT,     kevin			( MINNESOTTA )"
SPEECH.axx,full_name_speech,,0100DH,73,1612,"GUGLIOTTA,   tom"
SPEECH.axx,full_name_speech,,0100DH,75,2951,"MARBURY,     stephon"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,68,1340,"GILL,        kendall		( NEW JERSEY )"
SPEECH.axx,full_name_speech,,0100DH,52,2903,"KITTLES,     kerry"
SPEECH.axx,full_name_speech,,0100DH,70,1492,"CASSELL,     sam"
SPEECH.axx,full_name_speech,,0100DH,84,1400,"JACKSON,     jim"
SPEECH.axx,full_name_speech,,0100DH,79,1328,"MONTROSS,    eric"
SPEECH.axx,full_name_speech,,0100DH,82,1640,"EWING,       patrick		( NEW YORK )"
SPEECH.axx,full_name_speech,,0100DH,74,1344,"JOHNSON,     larry"
SPEECH.axx,full_name_speech,,0100DH,76,1456,"HOUSTON,     allan"
SPEECH.axx,full_name_speech,,0100DH,70,1656,"STARKS,      john"
SPEECH.axx,full_name_speech,,0100DH,81,1652,"OAKLEY,      charles"
SPEECH.axx,full_name_speech,,0100DH,95,1660,"HARDAWAY,    anfernee		( ORLANDO )"
SPEECH.axx,full_name_speech,,0100DH,76,1664,"GRANT,       horace"
SPEECH.axx,full_name_speech,,0100DH,65,1668,"ANDERSON,    nick"
SPEECH.axx,full_name_speech,,0100DH,84,1468,"SEIKALY,     rony"
SPEECH.axx,full_name_speech,,0100DH,67,1672,"SCOTT,       dennis"
SPEECH.axx,full_name_speech,,0100DH,72,2942,"IVERSON,     allen			( PHILADELPHIA )"
SPEECH.axx,full_name_speech,,0100DH,71,1684,"COLEMAN,     derrick"
SPEECH.axx,full_name_speech,,0100DH,96,1680,"STACKHOUSE,  jerry"
SPEECH.axx,full_name_speech,,0100DH,113,1688,"WEATHERSPOON,clarence"
SPEECH.axx,full_name_speech,,0,0,0,
SPEECH.axx,full_name_speech,,0100DH,69,1700,"JOHNSON,     kevin			( PHOENIX )"
SPEECH.axx,full_name_speech,,0100DH,68,1404,"KIDD,        jason"
SPEECH.axx,full_name_speech,,0100DH,77,1712,"PERSON,      wesley"
SPEECH.axx,full_name_speech,,0100DH,66,1708,"MANNING,     danny"
SPEECH.axx,full_name_speech,,0100DH,83,1548,"CEBALLOS,    cedric"
SPEECH.axx,full_name_speech,,0100DH,93,1728,"SABONIS,     arvydas		( PORTLAND )"
SPEECH.axx,full_name_speech,,0100DH,64,1620,"ANDERSON,    kenny"
SPEECH.axx,full_name_speech,,0100DH,94,1724,"ROBINSON,    cliff"
SPEECH.axx,full_name_speech,,0100DH,94,1600,"RIDER,       isaiah"
